MW;logP;HBA;HBD
306.797;4.015;3;2
527.669;5.98642;6;2
272.352;2.96882;3;2
513.642;5.678;6;2
499.615;5.5039;6;2
543.668;4.95882;7;3
451.571;4.2258;6;2
528.657;5.38142;7;2
570.738;6.05242;7;2
556.711;5.744;7;2
348.45;5.12222;3;2
398.51;6.27542;3;2
525.697;6.54022;5;2
477.609;4.83322;6;2
428.536;6.28402;4;2
541.696;6.29484;6;2
451.53;5.039;6;2
512.9;5.1896;7;2
553.598;6.048;7;3
632.664;5.7724;8;2
633.7;4.7532;7;3
493.615;4.59032;7;2
373.46;4.0441;5;3
529.526;6.35584;7;2
503.488;5.74842;7;2
532.57;4.45602;6;1
560.68;5.8565;9;2
454.87;5.63812;7;2
539.709;6.8088;7;2
700.29;7.7958;10;4
362.477;5.43064;3;2
322.412;4.5148;3;2
306.797;4.015;3;2
